recorded_at,asset_id,market,outcome,size,average_price
2025-12-25T09:19:09.017174+00:00,97989394040157908420474378274161169875601342441520368993298458946946260082078,btc-updown-15m-1766653200,Up,3570.1163,0.2863
2025-12-25T09:19:09.017340+00:00,32452127541433436353387219540202596744132021379631935945580899663393706442880,btc-updown-15m-1766653200,Down,3549.7747,0.7004
2025-12-25T09:19:09.017409+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2603.3669,0.5599
2025-12-25T09:19:09.017460+00:00,105525985951221774219007143110687524906494836750388678863282588936547365291955,btc-updown-15m-1766654100,Up,2501.6942,0.4447
2025-12-25T09:19:09.017512+00:00,22001838715324778301075453573332271587423613506155280192490689300204281433169,eth-updown-15m-1766653200,Down,1568.2136,0.7236
2025-12-25T09:19:09.017560+00:00,50020921850582169372798207902423714463984339391703249991082950700813451455751,bitcoin-up-or-down-december-25-4am-et,Down,1540.7238,0.6415
2025-12-25T09:19:09.017610+00:00,78835882775953164807945262868300067236440699136474895935635376219960366628996,eth-updown-15m-1766653200,Up,1504.3138,0.2709
2025-12-25T09:19:09.017663+00:00,103983474668460198238917793281741250013046247325094141509198960145642359672309,bitcoin-up-or-down-december-25-4am-et,Up,1491.8197,0.3468
2025-12-25T09:19:09.017717+00:00,21706522743528376879295604688961109274797256642222674488167834543255344908481,ethereum-up-or-down-december-25-4am-et,Down,431.7768,0.5708
2025-12-25T09:19:09.017762+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,417.2279,0.6005
2025-12-25T09:19:09.017804+00:00,94337052394863398354609603108959682242524958734625904201557509725312024363003,ethereum-up-or-down-december-25-4am-et,Up,411.8852,0.4094
2025-12-25T09:19:09.017874+00:00,14903274108940679556158720509831165701075572102991570298469705544378233847093,eth-updown-15m-1766654100,Down,393.0103,0.4099
2025-12-25T09:19:09.017921+00:00,55300604051860630604073809439338144986474502053573822467104553628244620235525,bitcoin-up-or-down-december-25-2am-et,Down,46.6074,0.6219
2025-12-25T09:19:09.017962+00:00,67419383761002108838554325223419657516963980047472163085022739477084368737319,eth-updown-15m-1766652300,Down,37.3887,0.3659
2025-12-25T09:19:09.018002+00:00,73392276445787509489810328354391446993363073519564792392403332832335808750011,bitcoin-up-or-down-december-25-3am-et,Up,14.1279,0.2972
2025-12-25T09:19:09.018041+00:00,68208001609823144217403626116638977362769303424717119572333735658605067472790,btc-updown-15m-1766652300,Down,12.3535,0.4142
2025-12-25T09:19:09.018082+00:00,81093308842594768941218357440630625006162543902281608007975685089965720741220,ethereum-up-or-down-december-25-2am-et,Down,4.6055,0.6883
2025-12-25T09:19:09.018121+00:00,114868666050938491662866151415668212955334238549233424347027457454407833931066,ethereum-up-or-down-december-25-3am-et,Down,3.5712,0.6925
2025-12-25T09:19:09.116670+00:00,103983474668460198238917793281741250013046247325094141509198960145642359672309,bitcoin-up-or-down-december-25-4am-et,Up,1562.8197,0.34512815007386966
2025-12-25T09:19:09.174918+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,3223.3669,0.5560723252788877
2025-12-25T09:19:09.180690+00:00,14903274108940679556158720509831165701075572102991570298469705544378233847093,eth-updown-15m-1766654100,Down,430.0103,0.41851304950137236
2025-12-25T09:19:09.185585+00:00,105525985951221774219007143110687524906494836750388678863282588936547365291955,btc-updown-15m-1766654100,Up,2604.7742,0.4433267999736791
2025-12-25T09:19:09.191374+00:00,50020921850582169372798207902423714463984339391703249991082950700813451455751,bitcoin-up-or-down-december-25-4am-et,Down,1600.2238,0.645162456463902
2025-12-25T09:19:09.197487+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,512.2279,0.6041165542720339
2025-12-25T09:19:09.204879+00:00,94337052394863398354609603108959682242524958734625904201557509725312024363003,ethereum-up-or-down-december-25-4am-et,Up,441.8852,0.41011964392561684
2025-12-25T09:19:10.148066+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2651.3669,0.5584535008376245
2025-12-25T09:19:11.191230+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2699.3669,0.5570584448190424
2025-12-25T09:19:12.223213+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2747.3669,0.5557121356124657
2025-12-25T09:19:13.263831+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2248.5901,0.5684702574470998
2025-12-25T09:19:14.308195+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2296.5901,0.5666211802619893
2025-12-25T09:19:15.349464+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2344.5901,0.5648478141403053
2025-12-25T09:19:16.381088+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,2392.5901,0.5631456023495206
2025-12-25T09:21:22.446463+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,3365.7115,0.5078
2025-12-25T09:21:22.446572+00:00,105525985951221774219007143110687524906494836750388678863282588936547365291955,btc-updown-15m-1766654100,Up,3337.7338,0.4984
2025-12-25T09:21:22.446640+00:00,103983474668460198238917793281741250013046247325094141509198960145642359672309,bitcoin-up-or-down-december-25-4am-et,Up,1846.9305,0.3496
2025-12-25T09:21:22.446692+00:00,50020921850582169372798207902423714463984339391703249991082950700813451455751,bitcoin-up-or-down-december-25-4am-et,Down,1790.9482,0.6403
2025-12-25T09:21:22.446767+00:00,14903274108940679556158720509831165701075572102991570298469705544378233847093,eth-updown-15m-1766654100,Down,663.6853,0.3047
2025-12-25T09:21:22.446820+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,540.1853,0.6561
2025-12-25T09:21:22.446865+00:00,94337052394863398354609603108959682242524958734625904201557509725312024363003,ethereum-up-or-down-december-25-4am-et,Up,515.8852,0.4331
2025-12-25T09:21:22.446908+00:00,21706522743528376879295604688961109274797256642222674488167834543255344908481,ethereum-up-or-down-december-25-4am-et,Down,469.5468,0.5624
2025-12-25T09:21:22.531755+00:00,105525985951221774219007143110687524906494836750388678863282588936547365291955,btc-updown-15m-1766654100,Up,3550.2738,0.5020877336052223
2025-12-25T09:21:22.589412+00:00,14903274108940679556158720509831165701075572102991570298469705544378233847093,eth-updown-15m-1766654100,Down,839.2353,0.2786154382567082
2025-12-25T09:21:22.595557+00:00,103983474668460198238917793281741250013046247325094141509198960145642359672309,bitcoin-up-or-down-december-25-4am-et,Up,1952.3905,0.34962160633336414
2025-12-25T09:21:22.600401+00:00,94337052394863398354609603108959682242524958734625904201557509725312024363003,ethereum-up-or-down-december-25-4am-et,Up,613.8852,0.44856901603101035
2025-12-25T09:21:22.606286+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,3562.7115,0.4946508578367909
2025-12-25T09:21:22.613557+00:00,50020921850582169372798207902423714463984339391703249991082950700813451455751,bitcoin-up-or-down-december-25-4am-et,Down,1904.1482,0.639093182169329
2025-12-25T09:21:22.618489+00:00,21706522743528376879295604688961109274797256642222674488167834543255344908481,ethereum-up-or-down-december-25-4am-et,Down,481.5468,0.5598482231010569
2025-12-25T09:22:01.840344+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,687.1853,0.7094251450372994
2025-12-25T09:22:01.847573+00:00,64342334339323749913836244190673145356396299253040942444577686437631040016404,btc-updown-15m-1766654100,Down,3589.9448,0.489257023628887
2025-12-25T09:22:01.852097+00:00,14903274108940679556158720509831165701075572102991570298469705544378233847093,eth-updown-15m-1766654100,Down,727.6853,0.2867116720510913
2025-12-25T09:22:02.876479+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,719.1853,0.7179047334810654
2025-12-25T09:22:03.909783+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,751.1853,0.7256618721372743
2025-12-25T09:22:04.947199+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,653.6853,0.7006605948152728
2025-12-25T09:22:06.002557+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,685.6853,0.7099634936318455
2025-12-25T09:22:07.042409+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,717.6853,0.7184368010881651
2025-12-25T09:22:11.168810+00:00,87451274166460593710948091082228630056524957612262924182526671032263713227790,eth-updown-15m-1766654100,Up,749.6853,0.7261867494534041
